河南电信,#genre#
海南卫视,http://171.8.169.124:8800/udp/239.16.20.97:10970?$henan
深圳卫视,http://171.8.169.124:8800/udp/239.16.10.11:2000?$henan
深圳卫视,http://171.8.169.124:8800/udp/239.16.20.77:10770?$henan
湖北卫视,http://171.8.169.124:8800/udp/239.16.10.21:2000?$henan
湖北卫视,http://171.8.169.124:8800/udp/239.16.20.87:10870?$henan
湖南卫视,http://171.8.169.124:8800/udp/239.16.10.6:2000?$henan
湖南卫视,http://171.8.169.124:8800/udp/239.16.20.72:10720?$henan
甘肃卫视,http://171.8.169.124:8800/udp/239.16.10.114:2000?$henan
甘肃卫视,http://171.8.169.124:8800/udp/239.16.20.102:11020?$henan
贵州卫视,http://171.8.169.124:8800/udp/239.16.10.15:2000?$henan
贵州卫视,http://171.8.169.124:8800/udp/239.16.20.81:10810?$henan
辽宁卫视,http://171.8.169.124:8800/udp/239.16.10.29:2000?$henan
辽宁卫视,http://171.8.169.124:8800/udp/239.16.20.95:10950?$henan
重庆卫视,http://171.8.169.124:8800/udp/239.16.10.13:2000?$henan
重庆卫视,http://171.8.169.124:8800/udp/239.16.20.79:10790?$henan
陕西卫视,http://171.8.169.124:8800/udp/239.16.10.17:2000?$henan
陕西卫视,http://171.8.169.124:8800/udp/239.16.20.83:10830?$henan
黑龙江卫视,http://171.8.169.124:8800/udp/239.16.10.105:2000?$henan
黑龙江卫视,http://171.8.169.124:8800/udp/239.16.20.99:10990?$henan
省内频道,#genre#
河南乡村,http://171.8.169.124:8800/udp/239.16.10.181:2000?$henan
河南乡村,http://171.8.169.124:8800/udp/239.16.20.195:11950?$henan
河南公共,http://171.8.169.124:8800/udp/239.16.10.126:2000?$henan
河南公共,http://171.8.169.124:8800/udp/239.16.20.170:11700?$henan
河南国际,http://171.8.169.124:8800/udp/239.16.10.182:2000?$henan
河南国际,http://171.8.169.124:8800/udp/239.16.20.196:11960?$henan
河南戏曲,http://171.8.169.124:8800/udp/239.16.10.148:2000?$henan
河南文博,http://171.8.169.124:8800/udp/239.16.10.149:2000?$henan
河南文物宝库,http://171.8.169.124:8800/udp/239.16.20.172:11720?$henan
河南新闻,http://171.8.169.124:8800/udp/239.16.10.124:2000?$henan
