港澳频道,#genre#
CCTV1,http://113.109.119.236:8081/hls/1/index.m3u8
CCTV1,http://123.10.76.188:808/hls/1/index.m3u8
CCTV1,http://61.52.156.33:808/hls/1/index.m3u8
CCTV1,http://123.13.245.241:7000/hls/60/index.m3u8
CCTV1,http://123.160.172.124:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.13.174.77:20443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://1.193.63.148:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.52:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.108.239.6:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.110.10.19:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://171.108.239.36:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.109.119.236:8081/hls/2/index.m3u8
CCTV2,http://61.52.156.33:808/hls/2/index.m3u8
CCTV2,http://123.10.76.188:808/hls/2/index.m3u8
CCTV2,http://123.13.245.241:7000/hls/61/index.m3u8
CCTV2,http://123.160.172.124:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.13.174.77:20443/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://1.193.63.148:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.52:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.108.239.6:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.110.10.19:8181/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://171.108.239.36:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.109.119.236:8081/hls/3/index.m3u8
CCTV3,http://61.52.156.33:808/hls/3/index.m3u8
CCTV3,http://123.10.76.188:808/hls/3/index.m3u8
CCTV3,http://123.13.245.241:7000/hls/62/index.m3u8
CCTV3,http://171.13.174.77:20443/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.160.172.124:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://1.193.63.148:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.52:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.110.10.19:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.6:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.108.239.36:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://113.109.119.236:8081/hls/4/index.m3u8
CCTV4,http://61.52.156.33:808/hls/4/index.m3u8
CCTV4,http://123.10.76.188:808/hls/4/index.m3u8
CCTV4财经,http://123.13.245.241:7000/hls/63/index.m3u8
CCTV4,http://123.160.172.124:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.13.174.77:20443/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://1.193.63.148:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.136.67.238:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.108.239.52:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.108.239.6:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.110.10.19:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://171.108.239.36:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://113.109.119.236:8081/hls/16/index.m3u8
CCTV5,http://113.109.119.236:8081/hls/5/index.m3u8
CCTV5,http://61.52.156.33:808/hls/5/index.m3u8
CCTV5,http://123.10.76.188:808/hls/5/index.m3u8
CCTV5,http://123.13.245.241:7000/hls/64/index.m3u8
CCTV5+,http://123.13.245.241:7000/hls/75/index.m3u8
CCTV5,http://123.160.172.124:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.13.174.77:20443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://1.193.63.148:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.52:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.52:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.110.10.19:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.110.10.19:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.6:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.6:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.36:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.36:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.109.119.236:8081/hls/6/index.m3u8
CCTV6,http://61.52.156.33:808/hls/6/index.m3u8
CCTV6,http://123.10.76.188:808/hls/6/index.m3u8
CCTV6,http://123.13.245.241:7000/hls/65/index.m3u8
CCTV6,http://171.13.174.77:20443/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://123.160.172.124:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://1.193.63.148:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://61.136.67.238:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.108.239.52:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.110.10.19:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.108.239.6:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.108.239.36:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://113.109.119.236:8081/hls/7/index.m3u8
CCTV7,http://61.52.156.33:808/hls/7/index.m3u8
CCTV7,http://123.10.76.188:808/hls/7/index.m3u8
CCTV7河南军事农业,http://123.13.245.241:7000/hls/66/index.m3u8
CCTV7,http://123.160.172.124:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.13.174.77:20443/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://1.193.63.148:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://61.136.67.238:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
