
港澳频道,#genre#
CCTV5[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.0.177:5146?$GD
CCTV7[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.167:5146?$GD
CCTV8[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.0.181:5146?$GD
CCTV9[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.168:5146?$GD
CCTV10[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.169:5146?$GD
CCTV12[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.170:5146?$GD
CCTV14[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.171:5146?$GD
CCTV16 4K[5.1环绕声],http://14.221.179.159:8888/rtp/239.77.1.98:5146?$GD
CCTV2[5.1环绕声],http://113.101.160.21:8888/rtp/239.253.43.17:5146?$GD
CCTV3[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.0.175:5146?$GD
CCTV4[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.166:5146?$GD
CCTV5[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.0.177:5146?$GD
CCTV7[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.167:5146?$GD
CCTV8[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.0.181:5146?$GD
CCTV9[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.168:5146?$GD
CCTV10[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.169:5146?$GD
CCTV12[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.170:5146?$GD
CCTV14[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.171:5146?$GD
CCTV16 4K[5.1环绕声],http://113.101.160.21:8888/rtp/239.77.1.98:5146?$GD
CCTV1[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.140:5002?$TJ
CCTV12[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.1.144:5002?$TJ
CCTV16[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],http://221.196.68.105:8888/rtp/225.1.2.52:5002?$TJ
CCTV1[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.140:5002?$TJ
CCTV12[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.1.144:5002?$TJ
CCTV16[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],http://111.167.224.132:8888/rtp/225.1.2.52:5002?$TJ
CCTV1[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.140:5002?$TJ
CCTV12[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.1.144:5002?$TJ
CCTV16[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],http://218.67.186.230:8888/rtp/225.1.2.52:5002?$TJ
CCTV1[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.140:5002?$TJ
CCTV12[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.1.144:5002?$TJ
CCTV16[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],http://60.27.173.32:50000/rtp/225.1.2.52:5002?$TJ
CCTV1[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.140:5002?$TJ
CCTV12[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.2.193:5002?$TJ
