自用频道,#genre#
CHC影迷电影-5.1环绕声,http://117.114.153.25:8180/TV00000000000000000094@HHZT
怀旧剧场,http://nas.0731wang.com:14022/udp/239.76.247.53:1234
风云剧场,http://nas.0731wang.com:14022/udp/239.76.254.50:9000
第一剧场,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077f5ca035/1.m3u8?m3u8_level=2
绚影4K[3840*2160],http://iptv.028028.xyz:8/rtp/239.93.42.33:5140
欢笑剧场4K[3840*2160],http://ssrs2004.win:8888/rtp/239.111.205.1:5140
BesTv4K电影[3840*2160],http://tx191.tpddns.cn:4022/udp/239.45.3.107:5140
百事通4K电影[3840*2160],http://tx191.tpddns.cn:4022/rtp/239.45.1.42:5140
百事通4K-5.1环绕声[3840*2160],http://iptv.028028.xyz:8/udp/239.93.42.75:5140
NewTv黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTv超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTv动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTv精彩影视,http://ojbk.02200059.xyz:4022/udp/226.1.30.194:6000
NewTv爱情喜剧,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010000/1.m3u8
NewTv海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTv超级影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTv军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTv家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTv精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTv东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTv欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTv古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
凤凰电影（港）[768*576],http://117.114.153.25:8180/TV00000000000000000072@HHZT
axn电影（港）[1024*576],http://117.114.153.25:8180/TV00000000000000000076@HHZT
CINEMAX电影（港）[1024*576],http://117.114.153.25:8180/TV00000000000000000109@HHZT
